,x1,y1,x,y,angle,size
352,61,166,-3,0,3.141592653589793,3.0
353,103,166,-18,28,2.1507991010025775,34.66987164671943
354,124,166,-31,37,2.2681871166646044,48.27007354458868
355,145,166,-52,67,2.223642957895671,85.60373823613078
356,166,166,-43,28,2.5482425074330752,51.86520991955976
357,376,166,-3,6,2.0899424410414196,8.06225774829855
358,397,166,-1,25,1.6107750139181867,25.019992006393608
359,418,166,1,1,0.7853981633974483,1.4142135623730951
360,460,166,-18,-55,-1.887082454707051,57.87054518492115
361,481,166,-78,-408,-1.7596935076725193,415.38897433610344
362,502,166,-27,-351,-1.6475682180646747,352.03692988094303
363,523,166,-5,-62,-1.6512673380603575,62.20128616033595
364,607,166,-40,97,1.9619217737639258,104.92378186092989
365,628,166,-22,63,1.9208412150400425,67.06713054842886
366,649,166,0,10,1.6704649792860586,10.04987562112089
367,670,166,0,20,1.5707963267948966,20.0
368,691,166,-29,-40,-2.214297435588181,50.0
369,712,166,-4,-64,-1.648762960626439,64.19501538281614
370,733,166,-15,-76,-1.7782925532300993,77.6659513557904
371,754,166,8,47,1.402199387185467,47.67598976424087
372,775,166,6,66,1.4801364395941514,66.27216610312357
373,796,166,-42,-142,-1.8583721575753438,148.08105888330215
374,817,166,-4,-44,-1.683947308385381,44.28317965096906
375,838,166,-24,-214,-1.6870916225173191,215.45533179756774
376,859,166,-13,-76,-1.740209370684515,77.10382610480494
377,1027,166,-16,-40,-1.972666974235353,43.46262762420146
378,1048,166,-5,-19,-1.8766751981997487,19.924858845171276
379,1069,166,-70,-154,-1.9949907346986633,170.07351351694948
380,1090,166,-14,-26,-2.0491487581735544,30.4138126514911
381,1132,166,16,33,1.1193432352423422,36.6742416417845
382,1153,166,9,43,1.3644724327651792,43.93176527297759
383,1174,166,2,38,1.5182132651839548,38.05259518088089
384,1195,166,32,115,1.2994010459932608,119.36917525056458
385,1216,166,31,91,1.2424669199452378,96.13532129243653
386,1237,166,-7,3,2.7367008673047097,7.615773105863909
387,1258,166,-85,63,2.5037625615063397,105.80170130957252
388,19,187,5,1,0.3805063771123649,5.385164807134504
389,103,187,-30,24,2.44685437739309,39.05124837953327
390,124,187,-52,40,2.485897027348257,65.60487786742691
391,145,187,-57,69,2.2612427838495885,89.49860334105779
392,166,187,-13,15,2.2848870254070546,19.849433241279208
393,376,187,-3,6,2.0899424410414196,8.06225774829855
394,397,187,-7,36,1.7628443440356267,36.6742416417845
395,418,187,-5,19,1.8766751981997487,19.924858845171276
396,460,187,-8,-78,-1.6730030449021502,78.40918313565064
397,481,187,2,-351,-1.5622738058679497,352.0127838587684
398,502,187,-90,-405,-1.7889436243071828,415.8557442190741
399,523,187,-26,-83,-1.8853006312116416,87.28115489611719
400,607,187,-8,37,1.7837346763742938,37.8549864614954
401,628,187,-26,70,1.9389270981200601,75.02666192761077
402,649,187,2,15,1.446441332248135,16.1245154965971
403,670,187,-29,86,1.8960311876486802,90.75791976461338
404,691,187,-62,-39,-2.5686265107010873,73.78346698278686
405,712,187,-20,-115,-1.7429871413178357,116.72617529928752
406,733,187,-14,-47,-1.860299998756285,49.040799340956916
407,754,187,1,28,1.5350972141155725,28.0178514522438
408,775,187,6,55,1.4442041995149246,55.44366510251645
409,796,187,-16,-116,-1.716312183454863,117.23907198540937
410,817,187,-14,-61,-1.811914005246365,62.81719509815764
411,838,187,-28,-125,-1.7911587511515539,128.09761902549164
412,859,187,-11,-86,-1.7094360639290547,86.83317338436964
413,1027,187,-4,-11,-1.9974238199217726,12.083045973594572
414,1048,187,-40,-70,-2.0899424410414196,80.62257748298549
415,1069,187,-46,-54,-2.267320315379237,71.7007670809734
416,1090,187,-70,-101,-2.17225103365517,123.70933675353692
417,1132,187,4,17,1.2847448850775784,17.72004514666935
418,1153,187,24,39,1.0191413442663497,45.79301256742124
419,1174,187,14,51,1.3028859043715568,52.88667128870941
420,1195,187,17,90,1.373400766945016,91.78235124467012
421,1216,187,54,147,1.2127713685412058,156.95222202950808
422,1237,187,19,34,1.0612040619859708,38.948684188300895
423,1258,187,-45,45,2.356194490192345,63.63961030678928
424,19,208,0,23,1.5273454314033659,23.021728866442675
425,103,208,-25,29,2.2655346029916,39.05124837953327
426,124,208,-45,53,2.2655346029916,70.2922470831599
427,145,208,-44,39,2.427501954977635,59.54829972383762
428,397,208,-12,71,1.7382281052654198,72.00694410957877
429,418,208,-2,13,1.7234456551901618,13.152946437965905
430,460,208,-16,-81,-1.765816594199818,82.56512580987206
431,481,208,-25,-315,-1.649745809590027,316.98738145232215
432,502,208,-58,-379,-1.725229597797227,383.5648576186301
433,523,208,-16,-99,-1.7408549483869529,100.44899203078147
434,607,208,-10,47,1.776191715984664,49.03060268852505
435,628,208,-6,47,1.6977691164089757,47.38143096192854
436,649,208,-4,21,1.7590178320996674,21.37755832643195
437,670,208,-70,120,2.105065843101557,139.43098651304163
438,691,208,-49,-122,-1.9527151323465486,131.47243057006287
439,712,208,-9,-128,-1.648762960626439,128.39003076563228
440,733,208,-6,-60,-1.6869379536748867,60.40695324215582
441,754,208,7,43,1.4130275891989426,44.553338819890925
442,775,208,3,31,1.442473099109102,31.25699921617557
443,796,208,-9,-65,-1.7083830632652466,65.62011886609167
444,817,208,-26,-98,-1.8396368084738755,101.65136496870073
445,838,208,-24,-127,-1.7636806390528712,130.41855696180662
446,859,208,-27,-116,-1.7994831524671209,119.10079764636339
447,1048,208,-20,-54,-1.925501978805837,57.584720195551874
448,1069,208,-14,-27,-2.0778948311872334,30.886890422961002
449,1090,208,-60,-105,-2.0899424410414196,120.93386622447825
450,1111,208,-11,-22,-2.0701430484750265,25.059928172283335
451,1132,208,1,2,1.1071487177940904,2.23606797749979
452,1153,208,25,49,1.0990188156141465,55.00909015790027
453,1174,208,22,50,1.1562894522101106,54.62600113499065
454,1195,208,22,68,1.2578950989145121,71.47027354082255
455,1216,208,44,169,1.3175305605641436,175.60182231400674
456,1237,208,29,43,0.9774461806381783,51.86520991955976
457,1258,208,-67,114,2.1021369584896714,132.23085872821065
458,19,229,-9,22,1.9974238199217726,24.166091947189145
459,103,229,-45,43,2.389889597538361,62.96824596572466
460,124,229,-20,33,2.137525544318403,39.11521443121589
461,145,229,-2,2,2.356194490192345,2.8284271247461903
462,376,229,-3,9,1.9890206563741257,9.848857801796104
463,397,229,-12,72,1.7359450042095235,72.99315036357864
464,418,229,-4,40,1.6680495250464624,41.19465984809196
465,460,229,-7,-96,-1.6435841753988218,96.25487000666512
466,481,229,-37,-347,-1.679871771369624,349.07449061769034
467,502,229,-46,-260,-1.7459073147174942,264.0378760708395
468,523,229,-19,-129,-1.7170317489746834,130.39171752837677
469,607,229,-12,41,1.8555267653176089,42.720018726587654
470,628,229,-23,98,1.8109673346550696,100.89598604503551
471,649,229,-24,48,2.0509713563984233,54.120236510939236
472,670,229,-53,100,2.0659295902633006,113.64858116140297
473,691,229,-41,-114,-1.916041251903533,121.1486689980538
474,712,229,-26,-90,-1.852028528713192,93.68030742904295
475,733,229,-13,-78,-1.7359450042095235,79.07591289387686
476,754,229,3,22,1.3909428270024184,22.360679774997898
477,775,229,0,-18,-1.5707963267948966,18.0
478,796,229,47,6,0.12697278961407893,47.38143096192854
479,817,229,-14,-110,-1.6973884540748687,110.8873302050329
480,838,229,-14,-89,-1.7377664958198256,90.2551937563706
481,859,229,-11,-101,-1.689053835933976,101.71037311896953
482,985,229,13,13,0.7483780475235183,19.1049731745428
483,1006,229,46,61,0.9246774229342948,76.40026177965623
484,1048,229,-32,-47,-2.1685547183879788,56.859475903318
485,1069,229,-70,-87,-2.2427594983851287,112.44554237496477
